"new_id","mean_score","latest_score","score_closest_1y"
2005,11,18,3
2027,19,9,24
2056,7.75,4,2
2068,20.3125,33,22
2069,9.76923076923077,11,9
2072,18.1666666666667,6,14
2074,21.3333333333333,20,22
2086,10.7777777777778,9,3
2090,14.7,13,10
2104,13.6,11,23
2110,14.0909090909091,14,9
2149,12.7777777777778,5,4
2162,6.7,3,14
2202,16.125,18,16
2203,12.625,15,14
2215,15.25,15,19
2218,15.2727272727273,10,23
2227,22.9090909090909,21,25
2263,1.66666666666667,1,1
2267,13.25,16,8
2274,15,4,14
2292,9.11111111111111,21,6
2294,8.83333333333333,7,9
2297,3.75,3,1
2306,12.8823529411765,9,4
2320,7,5,9
2329,18.6666666666667,18,11
2333,5.33333333333333,6,7
2341,19.375,21,13
2343,11.5555555555556,10,4
2347,8.4375,11,9
2356,11.2142857142857,13,11
2357,30.8888888888889,32,25
2358,13.75,22,11
2364,14.5333333333333,10,18
2368,11.1818181818182,16,7
2379,4.91666666666667,1,6
2390,25.6,23,30
2396,9.625,3,11
2398,8.0625,4,6
2407,10.9230769230769,9,13
2408,9.25,1,8
2411,21.375,22,16
2425,17.2142857142857,16,23
2431,10.9375,4,2
2432,20.75,15,23
2442,11.4,1,7
2443,14.0714285714286,27,22
2447,14.0769230769231,8,26
2448,22.7777777777778,24,22
2450,13.4285714285714,11,16
2452,18.1818181818182,19,22
2453,7.57142857142857,5,2
2456,7.88888888888889,4,3
2463,12.25,10,13
2465,11.6666666666667,10,13
2466,16.4,7,18
2467,6.42857142857143,0,18
2472,14,19,19
2478,18.6666666666667,13,19
2483,13.4,21,16
2485,8.7,7,9
2502,11.8181818181818,10,17
2505,27.4285714285714,28,28
2507,20.4,29,27
2513,18.3076923076923,8,8
2517,23.5,22,21
2519,12.7777777777778,13,13
2521,17.7142857142857,19,22
2526,12.3333333333333,23,12
2527,18.125,17,17
2528,16.1111111111111,19,11
2535,17.3846153846154,26,18
2539,14.1428571428571,15,18
2549,5.5,0,3
2555,12.7777777777778,28,10
2566,17,16,18
2570,8.625,16,15
2571,16.125,16,7
2572,6.66666666666667,2,4
2601,12.25,0,15
2602,12,9,10
2603,11.2666666666667,4,12
2617,11.9166666666667,17,12
2648,13.9230769230769,18,13
2668,12.8461538461538,12,15
2672,3.61538461538462,2,3
2673,13.2307692307692,11,13
2674,17.8888888888889,17,23
2734,14.1111111111111,9,22
2779,14.6153846153846,8,8
